"Q917121","torontopath","1"
"Q2116093","psychopathic","1"
"Q3259652","TheLKAS","1"
"Q7183822","pud","1"
"Q588459","ringofhonor","2"
"Q7323895","richardpbacon","2"
"Q5142966","Colehillnews","1"
"Q15196319","DavidParkerMP","1"
"Q611080","rogerschank","1"
"Q845790","lifehouse","2"
"Q3325289","rebel_rabbitohs","1"
"Q683828","MDesbarres","1"
"Q3185629","joeschwarcz","1"
"Q2749082","lordandtaylor","2"
"Q7381202","ouruss","2"
"Q234144","RitaWilson","2"
"Q3987626","sternshow","2"
"Q333521","nntaleb","2"
"Q3519720","PostOfficeIndia","1"
"Q540625","VDP_Pericard","1"
"Q4910026","pacificraft","1"
"Q7804427","RealTimVine","1"
"Q220096","lamelaza_7","2"
"Q1848835","VicParliament","1"
"Q1208777","GoosemanTI","1"
"Q921584","hazuma","2"
"Q250978","Djimi_Traore19","2"
"Q8043471","xeni","2"
"Q16156990","DaveHolmes","2"
"Q380095","Chris_Meloni","2"
"Q7650986","suzannevirdee","1"
"Q2165768","KEK_en","1"
"Q362174","hopintung","1"
"Q4729833","PeaceForXmas","1"
"Q755196","athena_official","1"
"Q3521226","khushsundar","2"
"Q5149905","ColumbiaSchArts","1"
"Q5149902","CU_Nursing","1"
"Q1043786","RaceOfChampions","1"
"Q465290","renho_office","1"
"Q5504210","FriendsSeminary","1"
"Q3530165","jecfranklin","2"
"Q7756382","PaulOGradyShow","1"
"Q4812559","AtTheRaces","2"
"Q161571","Mascherano","2"
"Q266645","SideOneDummy","2"
"Q658961","Piaget","2"
"Q1106511","WFAN660","2"
"Q594106","jonathanmtucker","2"
"Q7985948","WMPolice","2"
"Q462312","SunsetThomas","1"
"Q24791","Official5ive","2"
"Q2876757","BBCRadioScot","2"
"Q14928311","RealMichaelKay","2"
"Q4994071","TripodActual","1"
"Q7094932","OUSA","1"
"Q604581","clubscristal","1"
"Q171524","Emanuele_Pirro","1"
"Q445921","Jon_Gnarr","1"
"Q298197","BarRefaeli","2"
"Q572957","ClubAlianzaLima","1"
"Q19066","Universitario","1"
"Q173317","Steph_Sarrazin","1"
"Q18525","southport_fc","1"
"Q909032","1242_PR","2"
"Q6968613","NateClements","2"
"Q7822797","tonylivesey","1"
"Q314110","JamieNoTweet","2"
"Q3485304","SIRSY","1"
"Q16148241","raymondarrieta","1"
"Q235443","jessicastam","2"
"Q5013139","CNNAirportNet","2"
"Q7668333","ToddDuckett","1"
"Q7674006","MyTPU","1"
"Q209511","colesprouse","2"
"Q4758803","AndrewVossy","1"
"Q130026","arobertwebb","2"
"Q469870","AmirKingKhan","2"
"Q954575","fumaca_ja","1"
"Q182361","STUDIO4C","1"
"Q258626","dominikapaleta","2"
"Q447703","sophieannaward","1"
"Q375525","KyleKorver","2"
"Q2347152","MaheshNBhatt","2"
"Q2556523","mrsfunnybones","2"
"Q2937938","carbonleaf","2"
"Q437608","bkerkove","1"
"Q392370","hederjon","2"
"Q6978530","NSBE","1"
"Q843772","tv_asahi_news","2"
"Q231243","danavollmer","2"
"Q7105547","1314obc","1"
"Q7279356","theperrytrain","1"
"Q5580399","GoldytheGopher","1"
"Q14708343","KRDKTV","1"
"Q7613294","MrSteveMatchett","2"
"Q357096","JChillin","2"
"Q7180558","TXFMDublin","1"
"Q5531508","GeneVGlass","1"
"Q423629","JackeeHarry","2"
"Q638853","ArdenMotorsport","1"
"Q743309","Angels","2"
"Q1343857","JonSeda","2"
"Q5287068","TheOriginalDoc","1"
"Q826480","ExCeLLondon","1"
"Q3350108","BCBtigers","2"
"Q2424566","TaggartOfficial","1"
"Q4794015","Arightside","1"
"Q329700","burtyoungartist","1"
"Q1207718","iDhritiman","1"
"Q7149434","PaulBongiorno","2"
"Q7743862","GlassJoeJP","1"
"Q592276","OfficialPWG","1"
"Q53549","noreaga","2"
"Q520572","TheJimCornette","1"
"Q1391309","manoharparrikar","2"
"Q775110","ltdlangkawi","1"
"Q2881454","tigers1908","1"
"Q2282943","KaylaKleevage","1"
"Q7501097","ShopRiteStores","2"
"Q325136","CharmaneStar","1"
"Q206471","BorutPahor","2"
"Q1961361","NRJhitmusiconly","2"
"Q6865056","minimathur","2"
"Q946462","sarinaparis","1"
